threads,gil_seconds,nogil_seconds
1,36.669521691743284,39.46645691385493
2,37.586535467766225,27.637377992388792
4,39.06849861191586,22.37878969917074
8,36.428301400039345,19.891812787135134
16,39.1668926179409,19.45461008702405
